Chihuahua                                         ,Urique                                            ,3144
Chihuahua                                         ,Uruachi                                           ,1130
Chihuahua                                         ,Valle de Zaragoza                                 ,2616
Distrito Federal                                  ,Azcapotzalco                                      ,164562
Distrito Federal                                  ,Coyoacan                                          ,221035
Distrito Federal                                  ,Cuajimalpa de Morelos                             ,67545
Distrito Federal                                  ,Gustavo A. Madero                                 ,401979
Distrito Federal                                  ,Iztacalco                                         ,142472
Distrito Federal                                  ,Iztapalapa                                        ,510212
Distrito Federal                                  ,La Magdalena Contreras                            ,58559
Distrito Federal                                  ,Milpa Alta                                        ,19174
Distrito Federal                                  ,Alvaro Obregon                                    ,220203
Distrito Federal                                  ,Tlahuac                                           ,92047
Distrito Federal                                  ,Tlalpan                                           ,202523
Distrito Federal                                  ,Xochimilco                                        ,105262
Distrito Federal                                  ,Benito Juarez                                     ,226645
Distrito Federal                                  ,Cuauhtemoc                                        ,275801
Distrito Federal                                  ,Miguel Hidalgo                                    ,177341
Distrito Federal                                  ,Venustiano Carranza                               ,171901
Durango                                           ,Canatlan                                          ,11279
Durango                                           ,Canelas                                           ,881
Durango                                           ,Coneto de Comonfort                               ,1315
Durango                                           ,Cuencame                                          ,11373
Durango                                           ,Durango                                           ,205089
Durango                                           ,General Simon Bolivar                             ,2421
Durango                                           ,Gomez Palacio                                     ,100046
Durango                                           ,Guadalupe Victoria                                ,13401
Durango                                           ,Guanacevi                                         ,2596
Durango                                           ,Hidalgo                                           ,1887
Durango                                           ,Inde                                              ,2664
Durango                                           ,Lerdo                                             ,40669
Durango                                           ,Mapimi                                            ,7128
Durango                                           ,Mezquital                                         ,4779
Durango                                           ,Nazas                                             ,4582
Durango                                           ,Nombre de Dios                                    ,6805
Durango                                           ,Ocampo                                            ,4012
Durango                                           ,El Oro                                            ,6366
Durango                                           ,Otaez                                             ,642
Durango                                           ,Panuco de Coronado                                ,5398
Durango                                           ,Penon Blanco                                      ,4090
Durango                                           ,Poanas                                            ,8872
Durango                                           ,Pueblo Nuevo                                      ,9481
Durango                                           ,Rodeo                                             ,4236
Durango                                           ,San Bernardo                                      ,1471
Durango                                           ,San Dimas                                         ,3288
Durango                                           ,San Juan de Guadalupe                             ,1783
Durango                                           ,San Juan del Rio                                  ,4856
Durango                                           ,San Luis del Cordero                              ,979
Durango                                           ,San Pedro del Gallo                               ,516
Durango                                           ,Santa Clara                                       ,2556
Durango                                           ,Santiago Papasquiaro                              ,18849
Durango                                           ,Suchil                                            ,2134
Durango                                           ,Tamazula                                          ,3617
Durango                                           ,Tepehuanes                                        ,5996
Durango                                           ,Tlahualilo                                        ,5494
Durango                                           ,Topia                                             ,1520
Durango                                           ,Vicente Guerrero                                  ,8388
Durango                                           ,Nuevo Ideal                                       ,11026
Guanajuato                                        ,Abasolo                                           ,27878
Guanajuato                                        ,Acambaro                                          ,45649
Guanajuato                                        ,San Miguel de Allende                             ,57928
Guanajuato                                        ,Apaseo el Alto                                    ,21362
Guanajuato                                        ,Apaseo el Grande                                  ,28266
Guanajuato                                        ,Atarjea                                           ,1594
Guanajuato                                        ,Celaya                                            ,180159
Guanajuato                                        ,Manuel Doblado                                    ,14702
Guanajuato                                        ,Comonfort                                         ,22964
Guanajuato                                        ,Coroneo                                           ,5100
Guanajuato                                        ,Cortazar                                          ,31247
Guanajuato                                        ,Cueramaro                                         ,11289
Guanajuato                                        ,Doctor Mora                                       ,7112
Guanajuato                                        ,Dolores Hidalgo Cuna de la Independencia Nacional ,42936
Guanajuato                                        ,Guanajuato                                        ,61252
Guanajuato                                        ,Huanimaro                                         ,6992
Guanajuato                                        ,Irapuato                                          ,166771
Guanajuato                                        ,Jaral del Progreso                                ,14200
Guanajuato                                        ,Jerecuaro                                         ,17708
Guanajuato                                        ,Leon                                              ,511646
Guanajuato                                        ,Moroleon                                          ,25604
Guanajuato                                        ,Ocampo                                            ,8069
Guanajuato                                        ,Penjamo                                           ,52304
Guanajuato                                        ,Pueblo Nuevo                                      ,4550
Guanajuato                                        ,Purisima del Rincon                               ,24148
Guanajuato                                        ,Romita                                            ,17836
Guanajuato                                        ,Salamanca                                         ,102219
Guanajuato                                        ,Salvatierra                                       ,39833
Guanajuato                                        ,San Diego de la Union                             ,10130
Guanajuato                                        ,San Felipe                                        ,31557
Guanajuato                                        ,San Francisco del Rinc¾n                          ,42244
Guanajuato                                        ,San Jose Iturbide                                 ,29658
Guanajuato                                        ,San Luis de la Paz                                ,34410
Guanajuato                                        ,Santa Catarina                                    ,1958
Guanajuato                                        ,Santa Cruz de Juventino Rosas                     ,23061
Guanajuato                                        ,Santiago Maravatio                                ,3290
Guanajuato                                        ,Silao                                             ,53051
Guanajuato                                        ,Tarandacuao                                       ,5056
Guanajuato                                        ,Tarimoro                                          ,14753
Guanajuato                                        ,Tierra Blanca                                     ,4921
Guanajuato                                        ,Uriangato                                         ,26536
Guanajuato                                        ,Valle de Santiago                                 ,53837
Guanajuato                                        ,Victoria                                          ,5715
Guanajuato                                        ,Villagran                                         ,21340
Guanajuato                                        ,Xichu                                             ,3536
Guanajuato                                        ,Yuriria                                           ,30961
Guerrero                                          ,Acapulco de Juarez                                ,252366
Guerrero                                          ,Ahuacuotzingo                                     ,6143
Guerrero                                          ,Ajuchitlan del Progreso                           ,10218
Guerrero                                          ,Alcozauca de Guerrero                             ,5389
Guerrero                                          ,Alpoyeca                                          ,2582
Guerrero                                          ,Apaxtla                                           ,3990
Guerrero                                          ,Arcelia                                           ,11220
