"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Mexico","41","Yield","1961","Hg/Ha","11049.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2007","Int. $","118.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2006","Int. $","110.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2005","Int. $","100.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2004","Int. $","110.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2003","Int. $","107.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2002","Int. $","99.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2001","Int. $","107.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","2000","Int. $","97.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1999","Int. $","95.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1998","Int. $","101.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1997","Int. $","98.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1996","Int. $","102.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1995","Int. $","93.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1994","Int. $","94.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1993","Int. $","87.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1992","Int. $","94.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1991","Int. $","83.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1990","Int. $","90.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1989","Int. $","77.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1988","Int. $","75.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1987","Int. $","85.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1986","Int. $","81.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1985","Int. $","98.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1984","Int. $","84.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1983","Int. $","80.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1982","Int. $","73.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1981","Int. $","87.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1980","Int. $","73.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1979","Int. $","55.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1978","Int. $","66.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1977","Int. $","63.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1976","Int. $","59.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1975","Int. $","60.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1974","Int. $","52.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1973","Int. $","52.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1972","Int. $","50.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1971","Int. $","52.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1970","Int. $","53.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1969","Int. $","49.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1968","Int. $","49.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1967","Int. $","46.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1966","Int. $","45.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1965","Int. $","44.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1964","Int. $","41.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1963","Int. $","34.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1962","Int. $","30.00000","A "
"Mexico","432","Gross PIN (base 1999-2001)","1961","Int. $","30.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2007","Int. $","110.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2006","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2005","Int. $","95.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2004","Int. $","106.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2003","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2002","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2001","Int. $","105.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","2000","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1999","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1998","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1997","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1996","Int. $","108.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1995","Int. $","101.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1994","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1993","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1992","Int. $","107.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1991","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1990","Int. $","107.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1989","Int. $","93.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1988","Int. $","92.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1987","Int. $","106.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1986","Int. $","104.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1985","Int. $","128.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1984","Int. $","111.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1983","Int. $","107.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1982","Int. $","101.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1981","Int. $","122.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1980","Int. $","105.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1979","Int. $","82.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1978","Int. $","100.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1977","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1976","Int. $","95.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1975","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1974","Int. $","89.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1973","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1972","Int. $","91.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1971","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1970","Int. $","102.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1969","Int. $","97.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1968","Int. $","100.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1967","Int. $","98.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1966","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1965","Int. $","99.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1964","Int. $","96.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1963","Int. $","81.00000","A "
"Mexico","434","Grs per capita PIN (base 1999-2001)","1962","Int. $","75.00000","A "
